Encoding,Horizon,Problem,Type, counter wrac1_y_wrbc1, counter wrbc1_b_wrcc1, counter wrcc1_x_wrdc1, counter wrdc1_b_wrec1, counter wrec1_y_wrfc1,Total,Diff
clingcon,900,./v2/30noon,p2,314.0632016658783,217.72799062728882,,,,531.79119229316712,0.398
fire,900,./v2/30noon,p2,311.93740180134773,219.45599055290222,,,,531.39339235424995,0
clingcon,900,./v2/30noon,p1,314.0632016658783,,,,,314.0632016658783,2.126
fire,900,./v2/30noon,p1,311.93740180134773,,,,,311.93740180134773,0
clingcon,900,./v2/30eve,p3,204.2366023361683,169.919992685318,189.3085980117321,,,563.4651930332184,0
fire,900,./v2/30eve,p3,205.5486023724079,171.07199263572693,191.5435979962349,,,568.16419300436973,4.699
clingcon,900,./v2/30eve,p4,204.2366023361683,169.919992685318,189.3085980117321,178.49199445545673,,741.95718748867513,0
fire,900,./v2/30eve,p4,205.5486023724079,171.07199263572693,188.41459801793098,179.46199442446232,,744.49718745052813,2.540
clingcon,900,./v2/30eve,p5,204.2366023361683,169.919992685318,189.3085980117321,178.49199445545673,198.81399965286255,940.77118714153768,0
fire,900,./v2/30eve,p5,205.5486023724079,171.07199263572693,191.5435979962349,180.46899439394474,201.28599965572357,949.91918705403804,9.148
clingcon,900,./v2/30eve,p2,204.2366023361683,169.919992685318,,,,374.1565950214863,0
fire,900,./v2/30eve,p2,205.5486023724079,171.07199263572693,,,,376.62059500813483,2.464
clingcon,900,./v2/30eve,p1,204.2366023361683,,,,,204.2366023361683,0
fire,900,./v2/30eve,p1,204.8926023542881,,,,,204.8926023542881,0.656
clingcon,900,./v2_r/30morn,p3,102.07460042834282,83.51999640464783,98.93499889969826,,,284.52959573268891,3.046
fire,900,./v2_r/30morn,p3,101.07460042834282,82.36799645423889,98.04099890589714,,,281.48359578847885,0
clingcon,900,./v2_r/30morn,p4,102.07460042834282,83.51999640464783,98.93499889969826,91.78599715232849,,376.31559288501740,3.560
fire,900,./v2_r/30morn,p4,101.07460042834282,82.36799645423889,98.04099890589714,91.27199716866016,,372.75559295713901,0
clingcon,900,./v2_r/30morn,p5,102.07460042834282,83.51999640464783,98.93499889969826,91.78599715232849,95.81900006532669,472.13459295034409,18.359
fire,900,./v2_r/30morn,p5,97.16860041022301,79.48799657821655,95.35899892449379,89.23699723184109,92.523000061512,453.77559320628644,0
clingcon,900,./v2_r/30morn,p2,102.07460042834282,83.51999640464783,,,,185.59459683299065,2.152
fire,900,./v2_r/30morn,p2,101.07460042834282,82.36799645423889,,,,183.44259688258171,0
clingcon,900,./v2_r/30morn,p1,102.07460042834282,,,,,102.07460042834282,0
fire,900,./v2_r/30morn,p1,102.57460042834282,,,,,102.57460042834282,0.500
clingcon,900,./v2_r/26morn,p3,233.5144019126892,182.01599216461182,188.90699782967567,,,604.43739190697669,0
fire,900,./v2_r/26morn,p3,234.82640194892883,184.3199920654297,189.6405978500843,,,608.78699186444283,4.350
clingcon,900,./v2_r/26morn,p4,233.5144019126892,182.01599216461182,188.90699782967567,171.09799468517303,,775.53538659214972,0
fire,900,./v2_r/26morn,p4,234.82640194892883,182.01599216461182,188.90699782967567,172.27099464833736,,778.02038659155368,2.485
clingcon,900,./v2_r/26morn,p5,233.5144019126892,182.01599216461182,188.90699782967567,171.09799468517303,181.51299995183945,957.04838654398917,10.814
fire,900,./v2_r/26morn,p5,234.17040193080902,176.25599241256714,186.70619776844978,169.23699474334717,179.8649999499321,946.23458680510521,0
clingcon,900,./v2_r/26morn,p2,233.5144019126892,182.01599216461182,,,,415.53039407730102,0.496
fire,900,./v2_r/26morn,p2,234.17040193080902,180.86399221420288,,,,415.03439414501190,0
clingcon,900,./v2_r/26morn,p1,233.5144019126892,,,,,233.5144019126892,0
fire,900,./v2_r/26morn,p1,234.17040193080902,,,,,234.17040193080902,0.656
clingcon,900,./v2_r/muse,p3,242.93199387192726,167.1069936156273,210.73700189590454,,,620.77598938345910,0
fire,900,./v2_r/muse,p3,242.62299413979053,170.22499352693558,210.27000188827515,,,623.11798955500126,2.342
clingcon,900,./v2_r/muse,p4,242.93199387192726,167.1069936156273,210.73700189590454,348.0209902524948,,968.79697963595390,0
fire,900,./v2_r/muse,p4,242.09599404037,170.22499352693558,210.27000188827515,347.49599027633667,,970.08697973191740,1.290
clingcon,900,./v2_r/muse,p5,242.93199387192726,167.1069936156273,210.73700189590454,348.0209902524948,389.86199963092804,1358.65897926688194,0
fire,900,./v2_r/muse,p5,245.57199405133724,172.6719934940338,215.87400197982788,353.24299013614655,394.8059996366501,1382.16697929799557,23.508
clingcon,900,./v2_r/muse,p2,242.93199387192726,167.1069936156273,,,,410.03898748755456,7.459
fire,900,./v2_r/muse,p2,238.42699418962002,164.15299373865128,,,,402.57998792827130,0
clingcon,900,./v2_r/muse,p1,242.93199387192726,,,,,242.93199387192726,2.351
fire,900,./v2_r/muse,p1,240.58099392056465,,,,,240.58099392056465,0
clingcon,900,./v2_r/26eve,p3,268.6338020861149,177.40799236297607,187.94399774074554,,,633.98579218983651,0.906
fire,900,./v2_r/26eve,p3,269.01460179686546,176.8319923877716,187.23339775204659,,,633.07999193668365,0
clingcon,900,./v2_r/26eve,p4,268.6338020861149,177.40799236297607,187.94399774074554,186.19699421525002,,820.18278640508653,0
fire,900,./v2_r/26eve,p4,268.7404022216797,179.71199226379395,190.70619770884514,187.88399416208267,,827.04258635640146,6.860
clingcon,900,./v2_r/26eve,p5,268.6338020861149,177.40799236297607,187.94399774074554,186.19699421525002,225.18099957704544,1045.36378598213197,5.137
fire,900,./v2_r/26eve,p5,256.4432022571564,176.25599241256714,191.2221978008747,189.12299412488937,227.18199956417084,1040.22638615965845,0
clingcon,900,./v2_r/26eve,p2,268.6338020861149,177.40799236297607,,,,446.04179444909097,7.453
fire,900,./v2_r/26eve,p2,264.6370021402836,173.95199251174927,,,,438.58899465203287,0
clingcon,900,./v2_r/26eve,p1,268.6338020861149,,,,,268.6338020861149,0
fire,900,./v2_r/26eve,p1,268.7516021132469,,,,,268.7516021132469,0.118
clingcon,900,./v2_r/26noon,p3,272.2144016623497,177.98399233818054,185.48019793629646,,,635.67859193682670,0.470
fire,900,./v2_r/26noon,p3,273.6014014184475,175.67999243736267,185.92719793319702,,,635.20859178900719,0
clingcon,900,./v2_r/26noon,p4,272.2144016623497,177.98399233818054,185.48019793629646,180.8459943830967,,816.52458631992340,9.871
fire,900,./v2_r/26noon,p4,272.0806019604206,175.1039924621582,183.69219794869423,175.77699454128742,,806.65378691256045,0
clingcon,900,./v2_r/26noon,p5,272.2144016623497,177.98399233818054,185.48019793629646,180.8459943830967,206.69899946451187,1023.22358578443527,0
fire,900,./v2_r/26noon,p5,275.73000180721283,177.98399233818054,186.19079792499542,181.53399436175823,207.52299946546555,1028.96178589761257,5.738
clingcon,900,./v2_r/26noon,p2,272.2144016623497,177.98399233818054,,,,450.19839400053024,0
fire,900,./v2_r/26noon,p2,277.1552015542984,177.98399233818054,,,,455.13919389247894,4.941
clingcon,900,./v2_r/26noon,p1,272.2144016623497,,,,,272.2144016623497,1.460
fire,900,./v2_r/26noon,p1,270.7544014453888,,,,,270.7544014453888,0
clingcon,900,./v2_r/30noon,p3,268.6444011926651,185.47199201583862,192.6321978867054,,,646.74859109520912,0
fire,900,./v2_r/30noon,p3,270.2030017077923,187.19999194145203,194.42019787430763,,,651.82319152355196,5.075
clingcon,900,./v2_r/30noon,p4,268.8530011475086,185.47199201583862,192.6321978867054,195.94499391317368,,842.90218496322630,0
fire,900,./v2_r/30noon,p4,270.77940168976784,187.19999194145203,194.42019787430763,196.68299388885498,,849.08258539438248,6.180
