Horizon,Problem,Bound
780,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],14803199
780,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],14803199
780,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],14803199
780,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],14803199
780,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],17498060
840,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],7776000
840,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],7776000
840,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],7776000
840,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],7948800
840,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],9453340
840,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],18777599
840,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],18771799
840,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],18431999
840,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],18777599
840,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],22282860
840,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],19090799
840,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],19046399
840,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],19090799
840,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],19490399
840,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],26206399
840,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],20102399
840,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],19411199
840,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],19699199
840,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],20102399
840,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],29454800
840,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],19756799
840,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],19814599
840,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],19795099
840,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],20793599
840,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],28848580
840,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],21542399
840,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],21410699
840,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],20952299
840,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],21715199
840,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],29448320
840,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],16358399
840,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],16012799
840,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],16358399
840,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],16012799
840,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],19045560
900,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350],8006400
900,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350],7948800
900,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350],7833600
900,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350],8179200
900,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350],10226260
900,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350],19699199
900,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350],19699199
900,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350],19699199
900,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350],19699199
900,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350],24091340
900,./Instancesv2/sippv2/fixlen4/muse/p03[count=350],20316799
900,./Instancesv2/sippv2/fixlen4/muse/p04[count=350],20885399
900,./Instancesv2/sippv2/fixlen4/muse/p05[count=350],20929799
900,./Instancesv2/sippv2/fixlen4/muse/p02[count=350],21329399
900,./Instancesv2/sippv2/fixlen4/muse/p01[count=350],28633399
900,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350],21254399
900,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350],19641599
900,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350],20417199
900,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350],21715199
900,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350],31868000
900,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350],21254399
900,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350],21571499
900,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350],22035699
900,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350],22463999
900,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350],30978040
900,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350],21772799
900,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350],21706199
900,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350],21830399
900,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350],21945599
900,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350],31193740
900,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350],17107199
900,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350],17107199
900,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350],17107199
900,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350],17107199
900,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350],20489260
600,./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],5587200
600,./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],5587200
600,./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],5587200
600,./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],5587200
600,./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],7041480
600,./Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],12627040
600,./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],11764500
600,./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],11776100
600,./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],13017599
600,./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],16343580
600,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],11423000
600,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],11423000
600,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],11902300
600,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],11395500
600,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],16951200
600,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],11807999
600,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],11980799
600,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],12153599
600,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],12038399
600,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],19725940
600,./Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],12268799
600,./Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],12174320
600,./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],12353120
600,./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],12211199
600,./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],19686080
600,./Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],12959999
600,./Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],12959999
600,./Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],12959999
600,./Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],12959999
600,./Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],19984100
600,./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],11992100
600,./Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],12036800
600,./Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],11992100
600,./Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],12268799
600,./Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],14023920
660,./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],5817600
660,./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],6105600
660,./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],5817600
660,./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],5817600
660,./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],7735580
660,./Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],13532480
660,./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],13412000
660,./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],13357700
660,./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],13651199
660,./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],17903820
660,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],12097300
660,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],12097300
660,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],12515300
660,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],11947200
660,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],18768200
660,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],12441599
660,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],12671999
660,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],12959999
660,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],12787199
660,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],20557740
660,./Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],13232200
660,./Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],13075199
660,./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],13190399
660,./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],13132799
660,./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],21278640
660,./Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],14054399
660,./Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],14054399
660,./Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],14169599
660,./Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],14457599
660,./Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],21077660
660,./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],13190399
660,./Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],12808100
660,./Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],12831300
660,./Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],13247999
660,./Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],15456780
720,./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],6508800
720,./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],6508800
720,./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],6393600
720,./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],6508800
720,./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],8238260
720,./Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],15141680
720,./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],14369400
720,./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],14326700
720,./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],14860799
720,./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],18936420
720,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],13473399
720,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],13473399
720,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],13813199
720,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],13395699
720,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],20144699
720,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],13881599
720,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],14111999
720,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],14457599
720,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],13996799
720,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],22296480
720,./Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],14399999
720,./Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],14169599
720,./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],14630399
720,./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],14284799
720,./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],22797020
720,./Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],15033599
720,./Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],15033599
720,./Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],15091199
720,./Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],15091199
720,./Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],22393660
720,./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],14054399
720,./Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],14054399
720,./Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],13996799
720,./Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],13996799
720,./Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],16183500
780,./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],7200000
780,./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],7200000
780,./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],7142400
780,./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],7200000
780,./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],9020080
780,./Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],15897599
780,./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],15160200
780,./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],14997300
780,./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],15551999
780,./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],20876580
780,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],14576799
780,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],14576799
780,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],14921899
780,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],13924699
780,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],20859199
780,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],14918399
780,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],15321599
780,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],15206399
780,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],15091199
780,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],23365680
780,./Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],15782399
780,./Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],15263999
780,./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],15206399
780,./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],15609599
780,./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],24331660
780,./Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],16243199
780,./Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],16243199
780,./Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],16415999
780,./Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],16358399
780,./Instancesv2_round/sippv2/fixlen4/30noon/p01[count=350],24172860
780,./Instancesv2_round/sippv2/fixlen4/30eve/p03[count=350],15148799
780,./Instancesv2_round/sippv2/fixlen4/30eve/p04[count=350],15115400
780,./Instancesv2_round/sippv2/fixlen4/30eve/p05[count=350],15318900
780,./Instancesv2_round/sippv2/fixlen4/30eve/p02[count=350],15321599
780,./Instancesv2_round/sippv2/fixlen4/30eve/p01[count=350],17829560
840,./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],7891200
840,./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],7891200
840,./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],7603200
840,./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],7891200
840,./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],9739180
840,./Instancesv2_round/sippv2/fixlen4/26morn/p03[count=350],17395199
840,./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],16588799
840,./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],16300799
840,./Instancesv2_round/sippv2/fixlen4/26morn/p02[count=350],16876799
840,./Instancesv2_round/sippv2/fixlen4/26morn/p01[count=350],22490640
840,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],15646399
840,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],15646399
840,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350],16214499
840,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],15457199
840,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],22819099
840,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],16127999
840,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],16415999
840,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350],16703999
840,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],16012799
840,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350],25178780
840,./Instancesv2_round/sippv2/fixlen4/26noon/p03[count=350],16819199
840,./Instancesv2_round/sippv2/fixlen4/26noon/p04[count=350],16531199
840,./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],16819199
840,./Instancesv2_round/sippv2/fixlen4/26noon/p02[count=350],16531199
840,./Instancesv2_round/sippv2/fixlen4/26noon/p01[count=350],25554500
840,./Instancesv2_round/sippv2/fixlen4/30noon/p03[count=350],17683199
840,./Instancesv2_round/sippv2/fixlen4/30noon/p04[count=350],17683199
840,./Instancesv2_round/sippv2/fixlen4/30noon/p05[count=350],17855999
840,./Instancesv2_round/sippv2/fixlen4/30noon/p02[count=350],17798399
