Encoding,Horizon,Problem, counter wrac1_y_wrbc1, counter wrbc1_b_wrcc1, counter wrcc1_x_wrdc1, counter wrdc1_b_wrec1, counter wrec1_y_wrfc1,Total
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30morn/p03[count=350],70.41480034589767,58.175997495651245,67.6567992568016,,,196.247597098350515
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30morn/p04[count=350],70.41480034589767,58.175997495651245,67.6567992568016,62.83199805021286,,259.079595148563375
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30morn/p05[count=350],70.41480034589767,58.175997495651245,67.6567992568016,62.83199805021286,61.682000041007996,320.761595189571371
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30morn/p02[count=350],70.41480034589767,58.175997495651245,,,,128.590797841548915
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/30morn/p01[count=350],70.41480034589767,,,,,70.41480034589767
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26morn/p04[count=350],161.52980133891106,129.59999442100525,123.40499857068062,117.76099634170532,,532.29579067230225
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26morn/p05[count=350],161.52980133891106,129.59999442100525,123.40499857068062,117.76099634170532,127.01199996471405,659.30779063701630
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350],171.71499580144882,117.85499542951584,139.7140012383461,,,429.28399246931076
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350],171.71499580144882,117.85499542951584,139.7140012383461,249.41699302196503,,678.70098549127579
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350],171.71499580144882,117.85499542951584,,,,289.56999123096466
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350],171.71499580144882,,,,,171.71499580144882
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350],193.80900117754936,120.38399481773376,123.90919852256775,,,438.10219451785087
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350],193.80900117754936,120.38399481773376,123.90919852256775,133.57699584960938,,571.67919036746025
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350],193.80900117754936,120.38399481773376,,,,314.19299599528312
clingcon,600 (46),./Instancesv2_round/sippv2/fixlen4/26noon/p05[count=350],198.42280089855194,124.41599464416504,123.5311986207962,127.1109960526228,147.01999962329865,720.50098983943463
