Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,600,450,0,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
27.95,900,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,9,26699360,,,,,26699360
27.90,900,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,9,26699360,17395200,,,,44094560
28.25,900,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p03[count=350].lp,9,26698720,17395200,18507860,,,62601780
30.79,900,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p04[count=350].lp,9,26717340,17395200,18507860,18382200,,81002600
28.44,900,100,1,./Instancesv2_round/sippv2/fixlen4/26eve/p05[count=350].lp,9,26111980,16819200,18208700,18184500,22270900,101595280
23.08,900,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p01[count=350].lp,9,23168200,,,,,23168200
23.58,900,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p02[count=350].lp,9,23174800,15685000,,,,38859800
24.26,900,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p03[count=350].lp,9,23174800,15685000,20233100,,,59092900
24.39,900,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p04[count=350].lp,9,23135400,15685000,20233100,33981100,,93034600
23.83,900,100,1,./Instancesv2_round/sippv2/fixlen4/muse/p05[count=350].lp,9,23135400,15685000,20233100,33981100,38079800,131114400
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2_round/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
