Time,Horizon,Shot_duration,Models_per_Shot,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
216.20,900,100,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,9,28959200,21329400,25323400,32959600,35772600,144344200
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,,
680.31,900,100,2,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,9,30459280,22348800,,,,52808080
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,,
140.36,900,100,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,9,30228720,21427200,22195080,21691700,,95542700
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,,
486.66,900,100,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,9,20423660,16992000,,,,37415660
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,,
555.62,900,100,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,9,10351260,,,,,10351260
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,,
509.33,900,100,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,9,10351260,8179200,9670000,,,28200460
177.36,900,100,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,9,10051260,8064000,9580600,8734700,,36430560
393.48,900,100,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,9,10116860,8294400,9714700,8749200,9087500,45962660
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,
429.94,900,100,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,9,29750540,21484800,,,,51235340
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,,
0.00,900,100,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,,
291.50,900,100,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,9,31356000,21312000,22132040,21376700,22953800,119130540
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26morn/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26morn/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26morn/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26morn/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26morn/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26noon/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26noon/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26noon/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,,
0.00,900,100,0,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,,
