Time,Horizon,Models,Problem,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total
89.484,600,2,./Instancesv2/sippv2/fixlen4/26noon/p04[count=350].lp,20791720,15206400,14703880,14662000,,130722200
119.735,600,2,./Instancesv2/sippv2/fixlen4/26noon/p05[count=350].lp,20791720,15206400,14703880,14662000,16679600,164081400
0.0,600,2,./Instancesv2/sippv2/fixlen4/30eve/p01[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30eve/p02[count=350].lp,,,,,,
734.111,600,2,./Instancesv2/sippv2/fixlen4/30eve/p03[count=350].lp,14145720,12268800,12957160,,,78653960
149.737,600,2,./Instancesv2/sippv2/fixlen4/30eve/p04[count=350].lp,14145720,12268800,12867760,13131800,,104822360
61.516,600,2,./Instancesv2/sippv2/fixlen4/30eve/p05[count=350].lp,14145720,12268800,12867760,13126000,14384300,133420360
313.987,600,2,./Instancesv2/sippv2/fixlen4/30morn/p01[count=350].lp,7170300,,,,,7170300
29.080,600,2,./Instancesv2/sippv2/fixlen4/30morn/p02[count=350].lp,7170300,5126400,,,,24478200
21.633,600,2,./Instancesv2/sippv2/fixlen4/30morn/p03[count=350].lp,7170300,5126400,6300340,,,36944780
8.267,600,2,./Instancesv2/sippv2/fixlen4/30morn/p04[count=350].lp,7170300,5011200,6166240,6094200,,48872280
8.250,600,2,./Instancesv2/sippv2/fixlen4/30morn/p05[count=350].lp,7170300,5011200,6166240,6094200,6168200,61043880
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p01[count=350].lp,,,,,,
649.402,600,2,./Instancesv2/sippv2/fixlen4/30noon/p02[count=350].lp,20860020,15494400,,,,72536040
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p03[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p04[count=350].lp,,,,,,
0.0,600,2,./Instancesv2/sippv2/fixlen4/30noon/p05[count=350].lp,,,,,,
125.178,600,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,22037740,,,,,130327340
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,
423.801,600,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,19527400,,,,,58424000
730.373,600,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,19527400,14337900,,,,202271100
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,
0.0,600,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,
