Time,Horizon,Shot_duration,Model_Detail,Problem,NumShotsInSummary,counter wrac1_y_wrbc1,counter wrbc1_b_wrcc1,counter wrcc1_x_wrdc1,counter wrdc1_b_wrec1,counter wrec1_y_wrfc1,Total,Encoding
13.17,600,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,4.0,21777260.0,,,,,21777260.0,multi_shot
13.56,600,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,4.0,21777260.0,14630400.0,,,,36407660.0,multi_shot
13.8,600,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,4.0,21777260.0,14630400.0,15025920.0,,,51433580.0,multi_shot
14.33,600,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,4.0,21777260.0,14572800.0,15025920.0,15483900.0,,66859880.0,multi_shot
16.35,600,150.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,4.0,21777260.0,14918400.0,15025920.0,15501300.0,18986900.0,86209780.0,multi_shot
42.77,600,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,4.0,19364700.0,,,,,19364700.0,multi_shot
29.33,600,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,4.0,19527400.0,13970100.0,,,,33497500.0,multi_shot
26.5,600,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,4.0,19217100.0,14154000.0,16680000.0,,,50051100.0,multi_shot
40.18,600,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,4.0,19364700.0,14337900.0,16680000.0,21575600.0,,71958200.0,multi_shot
14.27,600,150.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,4.0,19495700.0,14337900.0,16680000.0,21986100.0,23589400.0,96089100.0,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,,,,,,,,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
389.53,600,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,4.0,19527400.0,,,,,19527400.0,multi_shot
109.84,600,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,4.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
0.0,600,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,,,,,,,,multi_shot
473.68,600,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,4.0,19527400.0,14337900.0,16680000.0,22232400.0,,72777700.0,multi_shot
893.52,600,150.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,4.0,19527400.0,14337900.0,16680000.0,22232400.0,23801300.0,96579000.0,multi_shot
11.19,600,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2.0,22037740.0,,,,,22037740.0,multi_shot
11.33,600,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2.0,22037740.0,14342400.0,,,,36380140.0,multi_shot
11.25,600,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2.0,22037740.0,14284800.0,15025920.0,,,51348460.0,multi_shot
11.51,600,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2.0,22037740.0,14342400.0,15025920.0,15483900.0,,66889960.0,multi_shot
13.16,600,300.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2.0,22037740.0,14342400.0,15025920.0,15483900.0,18986900.0,85876860.0,multi_shot
11.4,600,300.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2.0,19527400.0,,,,,19527400.0,multi_shot
11.63,600,300.0,1,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
11.75,600,300.0,1,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19527400.0,14154000.0,16680000.0,,,50361400.0,multi_shot
11.95,600,300.0,1,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,21657700.0,,72203000.0,multi_shot
12.02,600,300.0,1,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,21657700.0,23177400.0,95380400.0,multi_shot
407.69,600,300.0,2,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2.0,22037740.0,,,,,22037740.0,multi_shot
13.64,600,300.0,2,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2.0,22037740.0,14745600.0,,,,36783340.0,multi_shot
13.72,600,300.0,2,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2.0,22037740.0,14745600.0,15025920.0,,,51809260.0,multi_shot
13.39,600,300.0,2,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2.0,22037740.0,14745600.0,15025920.0,15483900.0,,67293160.0,multi_shot
13.67,600,300.0,2,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2.0,22037740.0,14745600.0,15025920.0,15483900.0,18986900.0,86280060.0,multi_shot
45.81,600,300.0,2,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2.0,19495700.0,,,,,19495700.0,multi_shot
27.46,600,300.0,2,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19495700.0,14337900.0,,,,33833600.0,multi_shot
43.33,600,300.0,2,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19495700.0,14337900.0,16680000.0,,,50513600.0,multi_shot
12.3,600,300.0,2,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,2.0,19489000.0,14337900.0,16680000.0,21739800.0,,72246700.0,multi_shot
12.26,600,300.0,2,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,2.0,19489000.0,14337900.0,16680000.0,21739800.0,23224500.0,95471200.0,multi_shot
415.72,600,300.0,0,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2.0,22037740.0,,,,,22037740.0,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,,,,,,,,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,,,,,,,,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,,,,,,,,multi_shot
563.55,600,300.0,0,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2.0,19527400.0,,,,,19527400.0,multi_shot
131.88,600,300.0,0,./Instancesv2/sippv2/fixlen4/muse/p02[count=350].lp,2.0,19527400.0,14337900.0,,,,33865300.0,multi_shot
783.19,600,300.0,0,./Instancesv2/sippv2/fixlen4/muse/p03[count=350].lp,2.0,19527400.0,14337900.0,16680000.0,,,50545300.0,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/muse/p04[count=350].lp,,,,,,,,multi_shot
0.0,600,300.0,0,./Instancesv2/sippv2/fixlen4/muse/p05[count=350].lp,,,,,,,,multi_shot
15.31,600,450.0,1,./Instancesv2/sippv2/fixlen4/26eve/p01[count=350].lp,2.0,21965300.0,,,,,21965300.0,multi_shot
15.69,600,450.0,1,./Instancesv2/sippv2/fixlen4/26eve/p02[count=350].lp,2.0,21965300.0,14112000.0,,,,36077300.0,multi_shot
15.11,600,450.0,1,./Instancesv2/sippv2/fixlen4/26eve/p03[count=350].lp,2.0,21965300.0,14112000.0,15025920.0,,,51103220.0,multi_shot
16.0,600,450.0,1,./Instancesv2/sippv2/fixlen4/26eve/p04[count=350].lp,2.0,21965300.0,14112000.0,15025920.0,15483900.0,,66587120.0,multi_shot
15.4,600,450.0,1,./Instancesv2/sippv2/fixlen4/26eve/p05[count=350].lp,2.0,21965300.0,14112000.0,15025920.0,15483900.0,18822100.0,85409220.0,multi_shot
63.84,600,450.0,1,./Instancesv2/sippv2/fixlen4/muse/p01[count=350].lp,2.0,19527400.0,,,,,19527400.0,multi_shot
